Documento,Nombre,Apellido,Genero,Fecha de Nacimiento
91328983,Vanesa,Olmos,femenino,19/05/2003
20638872,Amadeo,Villareal,masculino,23/10/1994
83196467,Salma,Soria,femenino,19/11/1994
47927180,Lara,Porras,femenino,15/05/1983
97585476,Pablo,Esparza,masculino,26/02/1985
81735532,Bautista,Camarillo,femenino,18/02/2003
89494186,Asís,Aguilera,masculino,30/07/1973
66195743,Cora,Sánchez,femenino,23/02/1930
88667764,Isaac,Leyva,masculino,30/04/1933
45058158,Clementino,Leiva,masculino,21/11/1932
48238174,Adán,Vera,masculino,27/03/1933
40174476,Ernesto,León,masculino,3/04/1930
47034989,Domingo,Rivero,masculino,17/03/1932
93928091,Alejo,Lugo,masculino,5/06/1919
20477078,Elías,Macías,masculino,11/08/1932
83078755,Virgilio,Puertas,masculino,7/01/1930
54666771,Olaya,Torres,femenino,24/03/1925
45177562,María,Acosta,femenino,20/10/1925
36727795,Serafín,Girón,masculino,18/06/1929
65467548,Gustavo,Farías,masculino,16/11/1933
74828323,Julio,Corral,masculino,9/11/1931
95976098,Eugenio,Rentería,masculino,30/08/1931
33434248,Felicia,Montañez,femenino,22/04/1933
38086790,Guillermina,Farías,femenino,4/03/1925
74756572,Ángeles,Ornelas,masculino,11/04/1931
26374058,Benita,Pelayo,femenino,5/03/1929
22844845,Simón,Gracia,masculino,2/05/1930
60995778,Abel,Ángel,masculino,1/05/1929
65885143,Urso,Valverde,masculino,26/05/1931
97195452,Patricio,Romo,masculino,15/08/1933
27925961,Paloma,Zamora,femenino,27/10/1932
49376651,Eulalia,Márquez,femenino,17/03/1931
79825874,Laia,Batista,femenino,12/05/1933
76374053,Camilo,Almaraz,masculino,31/07/1931
59835375,Constantina,Sepúlveda,femenino,10/02/1933
49144522,Crístofer,Mayo,masculino,18/02/1929
20734552,Marta,Manzanares,femenino,6/08/1932
54266326,Anabel,Caraballo,femenino,13/11/1929
48027880,Isabel,Coronado,femenino,27/04/1932
45976238,Nicole,Argüello,femenino,4/07/1931
47268247,Felipe,Olivera,masculino,21/02/1930
27428088,Óscar,Armendáriz,masculino,30/08/1930
97757688,Cipriano,Lucero,masculino,11/11/1933
58734295,Constantino,Padilla,masculino,14/12/1932
89154331,Tomás,Arredondo,masculino,12/10/1933
82776487,Manila,Roque,femenino,3/01/1933
36946450,Adela,Blanco,femenino,15/06/1932
