Id. de la fila,Id. del pedido,Fecha de pedido,Fecha del enví,Método de env�,Id. del cliente,Nombre del cliente,Segmento,Ciudad,Provincia/Estado/Departamento,País/Regi�,Regió,Id. del producto,Categorí,Subcategorí,Nombre del producto,Ventas,Cantidad,Descuento,Ganancia
4538,US-2021-161284,1/01/2021,1/01/2021,Mismo dí,91328983,Vanesa Olmos,Cliente,Tegucigalpa,Francisco Morazá,Honduras,Centro,MAT-PA-10000591,Material de oficina,Papel,"Xerox Resma, Multicolor",444,4,0.4,-222.4
5257,MX-2021-105046,2/01/2021,1/01/2021,Urgente,20638872,Amadeo Villareal,Cliente,Managua,Managua,Nicaragua,Centro,MOB-MO-10004363,Mobiliario,Mobiliario,"Advantus Bombilla, Negro",401.4,3,0,112.2
5255,MX-2021-105046,2/01/2021,1/01/2021,Urgente,20638872,Amadeo Villareal,Cliente,Managua,Managua,Nicaragua,Centro,MAT-PA-10004503,Material de oficina,Papel,"Eaton Recordadores, Multicolor",505,5,0,50
5256,MX-2021-105046,2/01/2021,1/01/2021,Urgente,20638872,Amadeo Villareal,Cliente,Managua,Managua,Nicaragua,Centro,TEC-CO-10001375,Tecnologí,Copiadoras,"HP Fax inalámbrico, ",11982.986,5,0.002,1655.986
5109,MX-2021-153451,6/01/2021,1/01/2021,Estánda,83196467,Salma Soria,Cliente,Managua,Managua,Nicaragua,Centro,MAT-SO-10002541,Material de oficina,Sobres,"Cameo Cierre adhesivo, Rojo",818,5,0,204
1706,MX-2021-145429,6/01/2021,4/01/2021,Rápid,47927180,Lara Porras,Empresa,Santa Catarina,Nuevo Leó,Méxic,Norte,MAT-AR-10002236,Material de oficina,Arte,"Sanford Libreta de dibujo, Tamaños variado",1297.6,4,0,609.6
4426,MX-2021-131681,7/01/2021,3/01/2021,Estánda,97585476,Pablo Esparza,Cliente,Serra,Espíritu Sant,Brasil,Sur,TEC-AC-10001543,Tecnologí,Accesorios,"Belkin Ratón, Negr",545.6,2,0,196.4
4425,MX-2021-131681,7/01/2021,3/01/2021,Estánda,97585476,Pablo Esparza,Cliente,Serra,Espíritu Sant,Brasil,Sur,MAT-AR-10000761,Material de oficina,Arte,"Boston Bolígrafos, Meta",309.6,3,0,117.6
1912,MX-2021-166660,7/01/2021,7/01/2021,Mismo dí,81735532,Bautista Camarillo,Pequeña empres,Irapuato,Guanajuato,Méxic,Norte,MAT-SU-10004266,Material de oficina,Suministros,"Stiletto Cizallas, Acero",316.6,1,0,72.8
5228,MX-2021-164266,9/01/2021,3/01/2021,Estánda,89494186,Asís Aguiler,Empresa,Soyapango,San Salvador,El Salvador,Centro,MAT-CA-10002107,Material de oficina,Carpetas,"Wilson Jones Cubierta de carpeta, Reciclado",539,7,0,32.2
5229,MX-2021-164266,9/01/2021,3/01/2021,Estánda,89494186,Asís Aguiler,Empresa,Soyapango,San Salvador,El Salvador,Centro,TEC-AC-10002957,Tecnologí,Accesorios,"Belkin Memoria USB, Negro",562,2,0,151.6
5227,MX-2021-164266,9/01/2021,3/01/2021,Estánda,89494186,Asís Aguiler,Empresa,Soyapango,San Salvador,El Salvador,Centro,TEC-CO-10003736,Tecnologí,Copiadoras,"Brother Fotocopiadora con fax, 2",3822.1404,3,0.002,413.5404
8714,US-2021-156699,9/01/2021,7/01/2021,Rápid,66195743,Cora Sánche,Cliente,San Miguelito,Panam�,Panam�,Centro,MAT-GR-10004309,Material de oficina,Grapas,"Stockwell Pasadores, Tamaños variado",182.88,4,0.4,-30.72
2419,MX-2021-164868,10/01/2021,7/01/2021,Rápid,88667764,Isaac Leyva,Empresa,Hermosillo,Sonora,Méxic,Norte,MAT-AL-10000750,Material de oficina,Almacenamiento,"Tenex Caja, Tamaño complet",771.4,7,0,361.2
7905,US-2021-115574,10/01/2021,10/01/2021,Mismo dí,45058158,Clementino Leiva,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aire,Argentina,Sur,TEC-AC-10002320,Tecnologí,Accesorios,"Logitech Tarjeta de memoria, Económic",1240.56,3,0.4,-269.04
5288,MX-2021-117324,11/01/2021,7/01/2021,Estánda,48238174,Adán Ver,Empresa,Huehuetenango,Huehuetenango,Guatemala,Centro,MOB-SI-10004087,Mobiliario,Sillas,"Office Star Taburete, 2",2349.2,2,0,281.6
9917,MX-2021-118528,11/01/2021,10/01/2021,Urgente,40174476,Ernesto Leó,Cliente,Apodaca,Nuevo Leó,Méxic,Norte,TEC-AC-10001300,Tecnologí,Accesorios,"SanDisk Tarjeta de memoria, Negro",2252.4,3,0,787.8
9914,MX-2021-118528,11/01/2021,10/01/2021,Urgente,40174476,Ernesto Leó,Cliente,Apodaca,Nuevo Leó,Méxic,Norte,MOB-SI-10002108,Mobiliario,Sillas,"Novimex Silla plegable, 2",1802.24,4,0.2,89.44
9918,MX-2021-118528,11/01/2021,10/01/2021,Urgente,40174476,Ernesto Leó,Cliente,Apodaca,Nuevo Leó,Méxic,Norte,MOB-MO-10004338,Mobiliario,Mobiliario,"Advantus Marco de foto, Duradero",400.08,2,0.4,-226.72
9915,MX-2021-118528,11/01/2021,10/01/2021,Urgente,40174476,Ernesto Leó,Cliente,Apodaca,Nuevo Leó,Méxic,Norte,TEC-TE-10003172,Tecnologí,Teléfono,"Motorola Auriculares, Tamaño complet",4321.6,8,0,1080
9916,MX-2021-118528,11/01/2021,10/01/2021,Urgente,40174476,Ernesto Leó,Cliente,Apodaca,Nuevo Leó,Méxic,Norte,MAT-CA-10004211,Material de oficina,Carpetas,"Cardinal Carpeta, Transparente",265.8,3,0,37.2
5158,MX-2021-121104,13/01/2021,6/01/2021,Estánda,47034989,Domingo Rivero,Cliente,Nueva Gerona,Isla de la Juventud,Cuba,Caribe,MAT-SO-10000132,Material de oficina,Sobres,"Kraft Sobre empresarial, Plateado",1507.2,12,0,103.2
9160,US-2021-115658,13/01/2021,7/01/2021,Estánda,93928091,Alejo Lugo,Cliente,Santo Domingo,Distrito Nacional,República Dominican,Caribe,MAT-CA-10004046,Material de oficina,Carpetas,"Acco Cubierta de carpeta, Duradero",237.12,3,0.2,-20.88
3951,MX-2021-167514,13/01/2021,10/01/2021,Rápid,20477078,Elías Mací,Empresa,Medellí,Antioquia,Colombia,Sur,TEC-TE-10003910,Tecnologí,Teléfono,"Nokia Teléfono inteligente, Azu",1642,2,0,262.4
1501,MX-2021-124002,14/01/2021,9/01/2021,Estánda,83078755,Virgilio Puertas,Pequeña empres,Guarapari,Espíritu Sant,Brasil,Sur,MAT-GR-10002741,Material de oficina,Grapas,"Stockwell Chinchetas, Paquete de 12",172.8,2,0,63.6
1500,MX-2021-124002,14/01/2021,9/01/2021,Estánda,83078755,Virgilio Puertas,Pequeña empres,Guarapari,Espíritu Sant,Brasil,Sur,TEC-TE-10002843,Tecnologí,Teléfono,"Apple Cargador, Azul",33931.2,8,0,1017.6
1503,MX-2021-124002,14/01/2021,9/01/2021,Estánda,83078755,Virgilio Puertas,Pequeña empres,Guarapari,Espíritu Sant,Brasil,Sur,TEC-TE-10002972,Tecnologí,Teléfono,"Apple Teléfono inteligente, Azu",1644,2,0,65.6
1502,MX-2021-124002,14/01/2021,9/01/2021,Estánda,83078755,Virgilio Puertas,Pequeña empres,Guarapari,Espíritu Sant,Brasil,Sur,MAT-SO-10002308,Material de oficina,Sobres,"Kraft Sobre de tipo Manila, Reciclado",674.4,4,0,303.2
2522,MX-2021-169866,16/01/2021,10/01/2021,Estánda,54666771,Olaya Torres,Cliente,Guadalajara,Jalisco,Méxic,Norte,MOB-SI-10003504,Mobiliario,Sillas,"SAFCO Silla plegable, Rojo",1371.36,3,0.2,239.76
976,MX-2021-111122,16/01/2021,16/01/2021,Mismo dí,45177562,María Acost,Pequeña empres,Irapuato,Guanajuato,Méxic,Norte,TEC-CO-10000553,Tecnologí,Copiadoras,"Sharp Tinta, Color",3349.288,4,0.002,429.288
975,MX-2021-111122,16/01/2021,16/01/2021,Mismo dí,45177562,María Acost,Pequeña empres,Irapuato,Guanajuato,Méxic,Norte,MAT-AL-10004728,Material de oficina,Almacenamiento,"Rogers Archivador móvil, Industria",2841.6,3,0,1136.4
3492,MX-2021-157770,17/01/2021,10/01/2021,Estánda,36727795,Serafín Gir�,Empresa,Monterrey,Nuevo Leó,Méxic,Norte,MOB-LI-10002270,Mobiliario,Librería,"Ikea Conjunto de estantes, Convencional",1816.96,2,0.2,181.36
5703,MX-2021-128398,18/01/2021,14/01/2021,Estánda,65467548,Gustavo Faría,Cliente,San Cristóbal de Las Casa,Chiapas,Méxic,Norte,MAT-AR-10003352,Material de oficina,Arte,"Stanley Libreta de dibujo, Metal",3655.2,12,0,1423.2
10034,US-2021-126207,18/01/2021,17/01/2021,Mismo dí,74828323,Julio Corral,Pequeña empres,Aç,Río Grande del Nort,Brasil,Sur,MOB-SI-10003204,Mobiliario,Sillas,"Novimex Silla plegable, 2",675.84,3,0.6,-608.76
46,MX-2021-164959,18/01/2021,17/01/2021,Mismo dí,74828323,Julio Corral,Pequeña empres,Goiâni,Goiá,Brasil,Sur,MOB-SI-10002108,Mobiliario,Sillas,"Novimex Silla plegable, 2",1689.6,3,0,405
2792,MX-2021-136770,19/01/2021,17/01/2021,Rápid,95976098,Eugenio Renterí,Empresa,Sancti Spíritu,Sancti Spíritu,Cuba,Caribe,MAT-ET-10000578,Material de oficina,Etiquetas,"Harbour Creations Etiquetas para documentos legales, Duradero",75.6,1,0,8.2
2791,MX-2021-136770,19/01/2021,17/01/2021,Rápid,95976098,Eugenio Renterí,Empresa,Sancti Spíritu,Sancti Spíritu,Cuba,Caribe,TEC-CO-10004259,Tecnologí,Copiadoras,"Brother Fotocopiadora personal, 2",2852.0844,3,0.002,651.2844
8803,MX-2021-159877,20/01/2021,14/01/2021,Estánda,33434248,Felicia Montañe,Empresa,Ciudad de Méxic,Distrito Federal,Méxic,Norte,MAT-AL-10002297,Material de oficina,Almacenamiento,"Tenex Carpetas, Tamaño complet",775,5,0,38
8804,MX-2021-159877,20/01/2021,14/01/2021,Estánda,33434248,Felicia Montañe,Empresa,Ciudad de Méxic,Distrito Federal,Méxic,Norte,MAT-ET-10000988,Material de oficina,Etiquetas,"Smead Etiquetas para carpetas de archivos, Duradero",123.6,2,0,38
8805,MX-2021-159877,20/01/2021,14/01/2021,Estánda,33434248,Felicia Montañe,Empresa,Ciudad de Méxic,Distrito Federal,Méxic,Norte,MOB-LI-10002222,Mobiliario,Librería,"Dania Conjunto de estantes, Convencional",2709.6,3,0.2,-643.8
5421,MX-2021-131072,20/01/2021,15/01/2021,Rápid,38086790,Guillermina Faría,Cliente,Portmore,Santa Caterina,Jamaica,Caribe,MAT-ET-10004247,Material de oficina,Etiquetas,"Avery Etiquetas para carpetas de archivos, Duradero",126.8,2,0,17.6
5420,MX-2021-131072,20/01/2021,15/01/2021,Rápid,38086790,Guillermina Faría,Cliente,Portmore,Santa Caterina,Jamaica,Caribe,MOB-ME-10002200,Mobiliario,Mesas,"Lesro Mesa de formación, Negr",5376,3,0,1344
3975,MX-2021-117604,20/01/2021,17/01/2021,Urgente,74756572,�ngeles Ornelas,Empresa,San Salvador,San Salvador,El Salvador,Centro,MAT-SO-10000258,Material de oficina,Sobres,"Ames Cierre adhesivo, 50",373.8,3,0,3.6
3976,MX-2021-117604,20/01/2021,17/01/2021,Urgente,74756572,�ngeles Ornelas,Empresa,San Salvador,San Salvador,El Salvador,Centro,MAT-SO-10001971,Material de oficina,Sobres,"Jiffy Sobre de hebilla, Reciclado",48.8,1,0,3.4
3978,MX-2021-117604,20/01/2021,17/01/2021,Urgente,74756572,�ngeles Ornelas,Empresa,San Salvador,San Salvador,El Salvador,Centro,MOB-MO-10004422,Mobiliario,Mobiliario,"Tenex Marco, Duradero",7847.4,11,0,2274.8
3977,MX-2021-117604,20/01/2021,17/01/2021,Urgente,74756572,�ngeles Ornelas,Empresa,San Salvador,San Salvador,El Salvador,Centro,TEC-TE-10001353,Tecnologí,Teléfono,"Cisco Teléfono inteligente, Azu",4616,5,0,1800
3979,MX-2021-117604,20/01/2021,17/01/2021,Urgente,74756572,�ngeles Ornelas,Empresa,San Salvador,San Salvador,El Salvador,Centro,MAT-ET-10002631,Material de oficina,Etiquetas,"Harbour Creations Etiquetas extraíbles, Roj",135.6,2,0,5.2
651,MX-2021-141740,20/01/2021,19/01/2021,Urgente,26374058,Benita Pelayo,Cliente,Bogot�,Bogot�,Colombia,Sur,MOB-MO-10004472,Mobiliario,Mobiliario,"Eldon Bombilla, Duradero",148.2,1,0,28
650,MX-2021-141740,20/01/2021,19/01/2021,Urgente,26374058,Benita Pelayo,Cliente,Bogot�,Bogot�,Colombia,Sur,MOB-SI-10000410,Mobiliario,Sillas,"Harbour Creations Taburete, Rojo",8405.6,7,0,2437.4
3183,MX-2021-144953,21/01/2021,16/01/2021,Estánda,22844845,Simón Graci,Empresa,Ciudad de Méxic,Distrito Federal,Méxic,Norte,TEC-TE-10000005,Tecnologí,Teléfono,"Nokia Base de audio, Tamaños variado",2261.2,2,0,972
573,MX-2021-147655,21/01/2021,16/01/2021,Rápid,60995778,Abel Ánge,Cliente,Managua,Managua,Nicaragua,Centro,TEC-AC-10002193,Tecnologí,Accesorios,"Belkin Tarjeta de memoria, Blanco",2252.4,3,0,585.6
572,MX-2021-147655,21/01/2021,16/01/2021,Rápid,60995778,Abel Ánge,Cliente,Managua,Managua,Nicaragua,Centro,TEC-AC-10001932,Tecnologí,Accesorios,"SanDisk Router, Programable",3438,2,0,1065.6
565,MX-2021-101378,22/01/2021,18/01/2021,Estánda,65885143,Urso Valverde,Cliente,Guantánam,Guantánam,Cuba,Caribe,TEC-MÁ-1000011,Tecnologí,Máquina,"Konica Impresora de tarjetas, Blanco",2314.4,2,0,393.2
564,MX-2021-101378,22/01/2021,18/01/2021,Estánda,65885143,Urso Valverde,Cliente,Guantánam,Guantánam,Cuba,Caribe,MOB-MO-10002863,Mobiliario,Mobiliario,"Rubvermaid Bandeja apiladora, Duradero",443.4,3,0,106.2
563,MX-2021-101378,22/01/2021,18/01/2021,Estánda,65885143,Urso Valverde,Cliente,Guantánam,Guantánam,Cuba,Caribe,TEC-TE-10001830,Tecnologí,Teléfono,"Samsung Teléfono inteligente, Tamaños variad",840.6,1,0,184.8
2608,MX-2021-142069,23/01/2021,17/01/2021,Estánda,97195452,Patricio Romo,Cliente,Petapa,Guatemala,Guatemala,Centro,MAT-EL-10003502,Material de oficina,Electrodoméstico,"KitchenAid Frigorífico, Platead",10573.8,3,0,2854.8
2609,MX-2021-142069,23/01/2021,17/01/2021,Estánda,97195452,Patricio Romo,Cliente,Petapa,Guatemala,Guatemala,Centro,TEC-AC-10004281,Tecnologí,Accesorios,"Logitech Teclado, Negro",1453.2,3,0,145.2
2610,MX-2021-142069,23/01/2021,17/01/2021,Estánda,97195452,Patricio Romo,Cliente,Petapa,Guatemala,Guatemala,Centro,MAT-SO-10000689,Material de oficina,Sobres,"GlobeWeis Sobres de uso interno, 50",637.6,2,0,127.2
6495,MX-2021-124996,23/01/2021,18/01/2021,Estánda,27925961,Paloma Zamora,Cliente,Bogot�,Bogot�,Colombia,Sur,MOB-MO-10001078,Mobiliario,Mobiliario,"Advantus Bandeja apiladora, Surtido",1233.4,7,0,616
8366,MX-2021-137939,23/01/2021,21/01/2021,Rápid,27925961,Paloma Zamora,Cliente,Colima,Colima,Méxic,Norte,MAT-AL-10002072,Material de oficina,Almacenamiento,"Tenex Estanterías, Industria",735.2,2,0,161.6
2822,MX-2021-156566,26/01/2021,22/01/2021,Estánda,49376651,Eulalia Márque,Cliente,Arraijá,Panam�,Panam�,Centro,MAT-CA-10004833,Material de oficina,Carpetas,"Cardinal Separadores, Transparente",80.64,3,0.4,5.04
2820,MX-2021-156566,26/01/2021,22/01/2021,Estánda,49376651,Eulalia Márque,Cliente,Arraijá,Panam�,Panam�,Centro,MOB-SI-10000410,Mobiliario,Sillas,"Harbour Creations Taburete, Rojo",1440.96,2,0.4,-264.24
2823,MX-2021-156566,26/01/2021,22/01/2021,Estánda,49376651,Eulalia Márque,Cliente,Arraijá,Panam�,Panam�,Centro,TEC-CO-10002358,Tecnologí,Copiadoras,"Canon Fax, Color",3825.1668,3,0.402,-2571.4332
2819,MX-2021-156566,26/01/2021,22/01/2021,Estánda,49376651,Eulalia Márque,Cliente,Arraijá,Panam�,Panam�,Centro,MAT-GR-10000029,Material de oficina,Grapas,"Accos Grapadoras, Metal",390,5,0.4,52
